colour	x	y	showSelected1	showSelected2	fill
#CCCCCC	5	3	2	No	#CCCCCC
#CCCCCC	6	3	2	No	#CCCCCC
#CCCCCC	7	3	2	No	#CCCCCC
#CCCCCC	8	3	2	No	#CCCCCC
#CCCCCC	9	3	2	No	#CCCCCC
#CCCCCC	10	3	2	No	#CCCCCC
#CCCCCC	1	4	2	No	#CCCCCC
#CCCCCC	2	4	2	No	#CCCCCC
#CCCCCC	3	4	2	No	#CCCCCC
#CCCCCC	4	4	2	No	#CCCCCC
#CCCCCC	5	4	2	No	#CCCCCC
#CCCCCC	6	4	2	No	#CCCCCC
#CCCCCC	7	4	2	No	#CCCCCC
#CCCCCC	8	4	2	No	#CCCCCC
#FF0000	9	4	2	Yes	#FF0000
#CCCCCC	10	4	2	No	#CCCCCC
#FF0000	1	5	2	Yes	#FF0000
#CCCCCC	2	5	2	No	#CCCCCC
#CCCCCC	3	5	2	No	#CCCCCC
#CCCCCC	4	5	2	No	#CCCCCC
#CCCCCC	5	5	2	No	#CCCCCC
#CCCCCC	6	5	2	No	#CCCCCC
#FF0000	7	5	2	Yes	#FF0000
#CCCCCC	8	5	2	No	#CCCCCC
#CCCCCC	9	5	2	No	#CCCCCC
#CCCCCC	10	5	2	No	#CCCCCC
#FF0000	1	6	2	Yes	#FF0000
#CCCCCC	2	6	2	No	#CCCCCC
#CCCCCC	3	6	2	No	#CCCCCC
#CCCCCC	4	6	2	No	#CCCCCC
#CCCCCC	5	6	2	No	#CCCCCC
#CCCCCC	6	6	2	No	#CCCCCC
#CCCCCC	7	6	2	No	#CCCCCC
#CCCCCC	8	6	2	No	#CCCCCC
#CCCCCC	9	6	2	No	#CCCCCC
#CCCCCC	10	6	2	No	#CCCCCC
#CCCCCC	1	7	2	No	#CCCCCC
#CCCCCC	2	7	2	No	#CCCCCC
#CCCCCC	3	7	2	No	#CCCCCC
#CCCCCC	4	7	2	No	#CCCCCC
#CCCCCC	5	7	2	No	#CCCCCC
#CCCCCC	6	7	2	No	#CCCCCC
#FF0000	7	7	2	Yes	#FF0000
#CCCCCC	8	7	2	No	#CCCCCC
#CCCCCC	9	7	2	No	#CCCCCC
#CCCCCC	10	7	2	No	#CCCCCC
#CCCCCC	1	8	2	No	#CCCCCC
#FF0000	2	8	2	Yes	#FF0000
#CCCCCC	3	8	2	No	#CCCCCC
#CCCCCC	4	8	2	No	#CCCCCC
#CCCCCC	5	8	2	No	#CCCCCC
#CCCCCC	6	8	2	No	#CCCCCC
#CCCCCC	7	8	2	No	#CCCCCC
#CCCCCC	8	8	2	No	#CCCCCC
#FF0000	9	8	2	Yes	#FF0000
#CCCCCC	10	8	2	No	#CCCCCC
#CCCCCC	1	9	2	No	#CCCCCC
#CCCCCC	2	9	2	No	#CCCCCC
#FF0000	3	9	2	Yes	#FF0000
#CCCCCC	4	9	2	No	#CCCCCC
#CCCCCC	5	9	2	No	#CCCCCC
#CCCCCC	6	9	2	No	#CCCCCC
#CCCCCC	7	9	2	No	#CCCCCC
#CCCCCC	8	9	2	No	#CCCCCC
#CCCCCC	9	9	2	No	#CCCCCC
#CCCCCC	10	9	2	No	#CCCCCC
#CCCCCC	1	10	2	No	#CCCCCC
#CCCCCC	2	10	2	No	#CCCCCC
#CCCCCC	3	10	2	No	#CCCCCC
#CCCCCC	4	10	2	No	#CCCCCC
#FF0000	5	10	2	Yes	#FF0000
#CCCCCC	6	10	2	No	#CCCCCC
#CCCCCC	7	10	2	No	#CCCCCC
#CCCCCC	8	10	2	No	#CCCCCC
#FF0000	9	10	2	Yes	#FF0000
#CCCCCC	10	10	2	No	#CCCCCC
#CCCCCC	1	1	3	No	#CCCCCC
#CCCCCC	2	1	3	No	#CCCCCC
#CCCCCC	3	1	3	No	#CCCCCC
#FF0000	4	1	3	Yes	#FF0000
#CCCCCC	5	1	3	No	#CCCCCC
#CCCCCC	6	1	3	No	#CCCCCC
#FF0000	7	1	3	Yes	#FF0000
#CCCCCC	8	1	3	No	#CCCCCC
#CCCCCC	9	1	3	No	#CCCCCC
#CCCCCC	10	1	3	No	#CCCCCC
#CCCCCC	1	2	3	No	#CCCCCC
#FF0000	2	2	3	Yes	#FF0000
#FF0000	3	2	3	Yes	#FF0000
#CCCCCC	4	2	3	No	#CCCCCC
#CCCCCC	5	2	3	No	#CCCCCC
#CCCCCC	6	2	3	No	#CCCCCC
#CCCCCC	7	2	3	No	#CCCCCC
#CCCCCC	8	2	3	No	#CCCCCC
#CCCCCC	9	2	3	No	#CCCCCC
#CCCCCC	10	2	3	No	#CCCCCC
#CCCCCC	1	3	3	No	#CCCCCC
#CCCCCC	2	3	3	No	#CCCCCC
#CCCCCC	3	3	3	No	#CCCCCC
#CCCCCC	4	3	3	No	#CCCCCC
#CCCCCC	5	3	3	No	#CCCCCC
#CCCCCC	6	3	3	No	#CCCCCC
#CCCCCC	7	3	3	No	#CCCCCC
#CCCCCC	8	3	3	No	#CCCCCC
#CCCCCC	9	3	3	No	#CCCCCC
#FF0000	10	3	3	Yes	#FF0000
#CCCCCC	1	4	3	No	#CCCCCC
#CCCCCC	2	4	3	No	#CCCCCC
#CCCCCC	3	4	3	No	#CCCCCC
#CCCCCC	4	4	3	No	#CCCCCC
#CCCCCC	5	4	3	No	#CCCCCC
#CCCCCC	6	4	3	No	#CCCCCC
#CCCCCC	7	4	3	No	#CCCCCC
#CCCCCC	8	4	3	No	#CCCCCC
#CCCCCC	9	4	3	No	#CCCCCC
#CCCCCC	10	4	3	No	#CCCCCC
#FF0000	1	5	3	Yes	#FF0000
#CCCCCC	2	5	3	No	#CCCCCC
#CCCCCC	3	5	3	No	#CCCCCC
#CCCCCC	4	5	3	No	#CCCCCC
#CCCCCC	5	5	3	No	#CCCCCC
#CCCCCC	6	5	3	No	#CCCCCC
#FF0000	7	5	3	Yes	#FF0000
#FF0000	8	5	3	Yes	#FF0000
#CCCCCC	9	5	3	No	#CCCCCC
#FF0000	10	5	3	Yes	#FF0000
#CCCCCC	1	6	3	No	#CCCCCC
#CCCCCC	2	6	3	No	#CCCCCC
#FF0000	3	6	3	Yes	#FF0000
#CCCCCC	4	6	3	No	#CCCCCC
#CCCCCC	5	6	3	No	#CCCCCC
#CCCCCC	6	6	3	No	#CCCCCC
#CCCCCC	7	6	3	No	#CCCCCC
#CCCCCC	8	6	3	No	#CCCCCC
#CCCCCC	9	6	3	No	#CCCCCC
#FF0000	10	6	3	Yes	#FF0000
#CCCCCC	1	7	3	No	#CCCCCC
#CCCCCC	2	7	3	No	#CCCCCC
#CCCCCC	3	7	3	No	#CCCCCC
#CCCCCC	4	7	3	No	#CCCCCC
#CCCCCC	5	7	3	No	#CCCCCC
#CCCCCC	6	7	3	No	#CCCCCC
#CCCCCC	7	7	3	No	#CCCCCC
#CCCCCC	8	7	3	No	#CCCCCC
#CCCCCC	9	7	3	No	#CCCCCC
#FF0000	10	7	3	Yes	#FF0000
#CCCCCC	1	8	3	No	#CCCCCC
#FF0000	2	8	3	Yes	#FF0000
#CCCCCC	3	8	3	No	#CCCCCC
#CCCCCC	4	8	3	No	#CCCCCC
#CCCCCC	5	8	3	No	#CCCCCC
#CCCCCC	6	8	3	No	#CCCCCC
#CCCCCC	7	8	3	No	#CCCCCC
#FF0000	8	8	3	Yes	#FF0000
#CCCCCC	9	8	3	No	#CCCCCC
#CCCCCC	10	8	3	No	#CCCCCC
#CCCCCC	1	9	3	No	#CCCCCC
#CCCCCC	2	9	3	No	#CCCCCC
#CCCCCC	3	9	3	No	#CCCCCC
#CCCCCC	4	9	3	No	#CCCCCC
#CCCCCC	5	9	3	No	#CCCCCC
#CCCCCC	6	9	3	No	#CCCCCC
#CCCCCC	7	9	3	No	#CCCCCC
#CCCCCC	8	9	3	No	#CCCCCC
#CCCCCC	9	9	3	No	#CCCCCC
#CCCCCC	10	9	3	No	#CCCCCC
#CCCCCC	1	10	3	No	#CCCCCC
#CCCCCC	2	10	3	No	#CCCCCC
#CCCCCC	3	10	3	No	#CCCCCC
#CCCCCC	4	10	3	No	#CCCCCC
#CCCCCC	5	10	3	No	#CCCCCC
#CCCCCC	6	10	3	No	#CCCCCC
#CCCCCC	7	10	3	No	#CCCCCC
#CCCCCC	8	10	3	No	#CCCCCC
#FF0000	9	10	3	Yes	#FF0000
#CCCCCC	10	10	3	No	#CCCCCC
#CCCCCC	1	1	4	No	#CCCCCC
#CCCCCC	2	1	4	No	#CCCCCC
#CCCCCC	3	1	4	No	#CCCCCC
#CCCCCC	4	1	4	No	#CCCCCC
#CCCCCC	5	1	4	No	#CCCCCC
#CCCCCC	6	1	4	No	#CCCCCC
#FF0000	7	1	4	Yes	#FF0000
#CCCCCC	8	1	4	No	#CCCCCC
#CCCCCC	9	1	4	No	#CCCCCC
#CCCCCC	10	1	4	No	#CCCCCC
#CCCCCC	1	2	4	No	#CCCCCC
#CCCCCC	2	2	4	No	#CCCCCC
#CCCCCC	3	2	4	No	#CCCCCC
#CCCCCC	4	2	4	No	#CCCCCC
#CCCCCC	5	2	4	No	#CCCCCC
#CCCCCC	6	2	4	No	#CCCCCC
#CCCCCC	7	2	4	No	#CCCCCC
#CCCCCC	8	2	4	No	#CCCCCC
#CCCCCC	9	2	4	No	#CCCCCC
#CCCCCC	10	2	4	No	#CCCCCC
#CCCCCC	1	3	4	No	#CCCCCC
#CCCCCC	2	3	4	No	#CCCCCC
#CCCCCC	3	3	4	No	#CCCCCC
#CCCCCC	4	3	4	No	#CCCCCC
#CCCCCC	5	3	4	No	#CCCCCC
#CCCCCC	6	3	4	No	#CCCCCC
#CCCCCC	7	3	4	No	#CCCCCC
#FF0000	8	3	4	Yes	#FF0000
#CCCCCC	9	3	4	No	#CCCCCC
#CCCCCC	10	3	4	No	#CCCCCC
#FF0000	1	4	4	Yes	#FF0000
#CCCCCC	2	4	4	No	#CCCCCC
#FF0000	3	4	4	Yes	#FF0000
#CCCCCC	4	4	4	No	#CCCCCC
#FF0000	5	4	4	Yes	#FF0000
#CCCCCC	6	4	4	No	#CCCCCC
#CCCCCC	7	4	4	No	#CCCCCC
#CCCCCC	8	4	4	No	#CCCCCC
#CCCCCC	9	4	4	No	#CCCCCC
#CCCCCC	10	4	4	No	#CCCCCC
#FF0000	1	5	4	Yes	#FF0000
#CCCCCC	2	5	4	No	#CCCCCC
#CCCCCC	3	5	4	No	#CCCCCC
#FF0000	4	5	4	Yes	#FF0000
#CCCCCC	5	5	4	No	#CCCCCC
#CCCCCC	6	5	4	No	#CCCCCC
#CCCCCC	7	5	4	No	#CCCCCC
#CCCCCC	8	5	4	No	#CCCCCC
#FF0000	9	5	4	Yes	#FF0000
#FF0000	10	5	4	Yes	#FF0000
#CCCCCC	1	6	4	No	#CCCCCC
#CCCCCC	2	6	4	No	#CCCCCC
#CCCCCC	3	6	4	No	#CCCCCC
#CCCCCC	4	6	4	No	#CCCCCC
#CCCCCC	5	6	4	No	#CCCCCC
#CCCCCC	6	6	4	No	#CCCCCC
#CCCCCC	7	6	4	No	#CCCCCC
#CCCCCC	8	6	4	No	#CCCCCC
#FF0000	9	6	4	Yes	#FF0000
#CCCCCC	10	6	4	No	#CCCCCC
#CCCCCC	1	7	4	No	#CCCCCC
#CCCCCC	2	7	4	No	#CCCCCC
#CCCCCC	3	7	4	No	#CCCCCC
#CCCCCC	4	7	4	No	#CCCCCC
#FF0000	5	7	4	Yes	#FF0000
#CCCCCC	6	7	4	No	#CCCCCC
#FF0000	7	7	4	Yes	#FF0000
#CCCCCC	8	7	4	No	#CCCCCC
#CCCCCC	9	7	4	No	#CCCCCC
#CCCCCC	10	7	4	No	#CCCCCC
#CCCCCC	1	8	4	No	#CCCCCC
#CCCCCC	2	8	4	No	#CCCCCC
#FF0000	3	8	4	Yes	#FF0000
#CCCCCC	4	8	4	No	#CCCCCC
#CCCCCC	5	8	4	No	#CCCCCC
#FF0000	6	8	4	Yes	#FF0000
#CCCCCC	7	8	4	No	#CCCCCC
#CCCCCC	8	8	4	No	#CCCCCC
#CCCCCC	9	8	4	No	#CCCCCC
#CCCCCC	10	8	4	No	#CCCCCC
#CCCCCC	1	9	4	No	#CCCCCC
#CCCCCC	2	9	4	No	#CCCCCC
#CCCCCC	3	9	4	No	#CCCCCC
#CCCCCC	4	9	4	No	#CCCCCC
#CCCCCC	5	9	4	No	#CCCCCC
#CCCCCC	6	9	4	No	#CCCCCC
#CCCCCC	7	9	4	No	#CCCCCC
#CCCCCC	8	9	4	No	#CCCCCC
#CCCCCC	9	9	4	No	#CCCCCC
#CCCCCC	10	9	4	No	#CCCCCC
#FF0000	1	10	4	Yes	#FF0000
#CCCCCC	2	10	4	No	#CCCCCC
#CCCCCC	3	10	4	No	#CCCCCC
#CCCCCC	4	10	4	No	#CCCCCC
#CCCCCC	5	10	4	No	#CCCCCC
#CCCCCC	6	10	4	No	#CCCCCC
#CCCCCC	7	10	4	No	#CCCCCC
#CCCCCC	8	10	4	No	#CCCCCC
#CCCCCC	9	10	4	No	#CCCCCC
#CCCCCC	10	10	4	No	#CCCCCC
#CCCCCC	1	1	5	No	#CCCCCC
#CCCCCC	2	1	5	No	#CCCCCC
#CCCCCC	3	1	5	No	#CCCCCC
#CCCCCC	4	1	5	No	#CCCCCC
#CCCCCC	5	1	5	No	#CCCCCC
#CCCCCC	6	1	5	No	#CCCCCC
#CCCCCC	7	1	5	No	#CCCCCC
#CCCCCC	8	1	5	No	#CCCCCC
#CCCCCC	9	1	5	No	#CCCCCC
#CCCCCC	10	1	5	No	#CCCCCC
#CCCCCC	1	2	5	No	#CCCCCC
#CCCCCC	2	2	5	No	#CCCCCC
#FF0000	3	2	5	Yes	#FF0000
#CCCCCC	4	2	5	No	#CCCCCC
#CCCCCC	5	2	5	No	#CCCCCC
#CCCCCC	6	2	5	No	#CCCCCC
#FF0000	7	2	5	Yes	#FF0000
#CCCCCC	8	2	5	No	#CCCCCC
#CCCCCC	9	2	5	No	#CCCCCC
#CCCCCC	10	2	5	No	#CCCCCC
#CCCCCC	1	3	5	No	#CCCCCC
#FF0000	2	3	5	Yes	#FF0000
#CCCCCC	3	3	5	No	#CCCCCC
#CCCCCC	4	3	5	No	#CCCCCC
#CCCCCC	5	3	5	No	#CCCCCC
#CCCCCC	6	3	5	No	#CCCCCC
#CCCCCC	7	3	5	No	#CCCCCC
#CCCCCC	8	3	5	No	#CCCCCC
#CCCCCC	9	3	5	No	#CCCCCC
#CCCCCC	10	3	5	No	#CCCCCC
#CCCCCC	1	4	5	No	#CCCCCC
#CCCCCC	2	4	5	No	#CCCCCC
#CCCCCC	3	4	5	No	#CCCCCC
#CCCCCC	4	4	5	No	#CCCCCC
#FF0000	5	4	5	Yes	#FF0000
#CCCCCC	6	4	5	No	#CCCCCC
#CCCCCC	7	4	5	No	#CCCCCC
#FF0000	8	4	5	Yes	#FF0000
#FF0000	9	4	5	Yes	#FF0000
#CCCCCC	10	4	5	No	#CCCCCC
#CCCCCC	1	5	5	No	#CCCCCC
#CCCCCC	2	5	5	No	#CCCCCC
#CCCCCC	3	5	5	No	#CCCCCC
#FF0000	4	5	5	Yes	#FF0000
#CCCCCC	5	5	5	No	#CCCCCC
#CCCCCC	6	5	5	No	#CCCCCC
#FF0000	7	5	5	Yes	#FF0000
#CCCCCC	8	5	5	No	#CCCCCC
#CCCCCC	9	5	5	No	#CCCCCC
#CCCCCC	10	5	5	No	#CCCCCC
#FF0000	1	6	5	Yes	#FF0000
#CCCCCC	2	6	5	No	#CCCCCC
#FF0000	3	6	5	Yes	#FF0000
#CCCCCC	4	6	5	No	#CCCCCC
#CCCCCC	5	6	5	No	#CCCCCC
#CCCCCC	6	6	5	No	#CCCCCC
#FF0000	7	6	5	Yes	#FF0000
#CCCCCC	8	6	5	No	#CCCCCC
#CCCCCC	9	6	5	No	#CCCCCC
#CCCCCC	10	6	5	No	#CCCCCC
#FF0000	1	7	5	Yes	#FF0000
#CCCCCC	2	7	5	No	#CCCCCC
#CCCCCC	3	7	5	No	#CCCCCC
#CCCCCC	4	7	5	No	#CCCCCC
#CCCCCC	5	7	5	No	#CCCCCC
#CCCCCC	6	7	5	No	#CCCCCC
#CCCCCC	7	7	5	No	#CCCCCC
#FF0000	8	7	5	Yes	#FF0000
#CCCCCC	9	7	5	No	#CCCCCC
#CCCCCC	10	7	5	No	#CCCCCC
#CCCCCC	1	8	5	No	#CCCCCC
#CCCCCC	2	8	5	No	#CCCCCC
#CCCCCC	3	8	5	No	#CCCCCC
#CCCCCC	4	8	5	No	#CCCCCC
#CCCCCC	5	8	5	No	#CCCCCC
#CCCCCC	6	8	5	No	#CCCCCC
#CCCCCC	7	8	5	No	#CCCCCC
#CCCCCC	8	8	5	No	#CCCCCC
#CCCCCC	9	8	5	No	#CCCCCC
#FF0000	10	8	5	Yes	#FF0000
#CCCCCC	1	9	5	No	#CCCCCC
#CCCCCC	2	9	5	No	#CCCCCC
#CCCCCC	3	9	5	No	#CCCCCC
#CCCCCC	4	9	5	No	#CCCCCC
#CCCCCC	5	9	5	No	#CCCCCC
#CCCCCC	6	9	5	No	#CCCCCC
#CCCCCC	7	9	5	No	#CCCCCC
#FF0000	8	9	5	Yes	#FF0000
#CCCCCC	9	9	5	No	#CCCCCC
#CCCCCC	10	9	5	No	#CCCCCC
#CCCCCC	1	10	5	No	#CCCCCC
#CCCCCC	2	10	5	No	#CCCCCC
#CCCCCC	3	10	5	No	#CCCCCC
#CCCCCC	4	10	5	No	#CCCCCC
#CCCCCC	5	10	5	No	#CCCCCC
#CCCCCC	6	10	5	No	#CCCCCC
#CCCCCC	7	10	5	No	#CCCCCC
#CCCCCC	8	10	5	No	#CCCCCC
#CCCCCC	9	10	5	No	#CCCCCC
#CCCCCC	10	10	5	No	#CCCCCC
#CCCCCC	1	1	6	No	#CCCCCC
#CCCCCC	2	1	6	No	#CCCCCC
#FF0000	3	1	6	Yes	#FF0000
#CCCCCC	4	1	6	No	#CCCCCC
#CCCCCC	5	1	6	No	#CCCCCC
#CCCCCC	6	1	6	No	#CCCCCC
#CCCCCC	7	1	6	No	#CCCCCC
#CCCCCC	8	1	6	No	#CCCCCC
#CCCCCC	9	1	6	No	#CCCCCC
#FF0000	10	1	6	Yes	#FF0000
#FF0000	1	2	6	Yes	#FF0000
#FF0000	2	2	6	Yes	#FF0000
#CCCCCC	3	2	6	No	#CCCCCC
#CCCCCC	4	2	6	No	#CCCCCC
#CCCCCC	5	2	6	No	#CCCCCC
#CCCCCC	6	2	6	No	#CCCCCC
#CCCCCC	7	2	6	No	#CCCCCC
#CCCCCC	8	2	6	No	#CCCCCC
#CCCCCC	9	2	6	No	#CCCCCC
#CCCCCC	10	2	6	No	#CCCCCC
#FF0000	1	3	6	Yes	#FF0000
#FF0000	2	3	6	Yes	#FF0000
#CCCCCC	3	3	6	No	#CCCCCC
#CCCCCC	4	3	6	No	#CCCCCC
#CCCCCC	5	3	6	No	#CCCCCC
#CCCCCC	6	3	6	No	#CCCCCC
#CCCCCC	7	3	6	No	#CCCCCC
#CCCCCC	8	3	6	No	#CCCCCC
#CCCCCC	9	3	6	No	#CCCCCC
#CCCCCC	10	3	6	No	#CCCCCC
#CCCCCC	1	4	6	No	#CCCCCC
#FF0000	2	4	6	Yes	#FF0000
#CCCCCC	3	4	6	No	#CCCCCC
#CCCCCC	4	4	6	No	#CCCCCC
#FF0000	5	4	6	Yes	#FF0000
#FF0000	6	4	6	Yes	#FF0000
#FF0000	7	4	6	Yes	#FF0000
#CCCCCC	8	4	6	No	#CCCCCC
#CCCCCC	9	4	6	No	#CCCCCC
#CCCCCC	10	4	6	No	#CCCCCC
#CCCCCC	1	5	6	No	#CCCCCC
#CCCCCC	2	5	6	No	#CCCCCC
#CCCCCC	3	5	6	No	#CCCCCC
#CCCCCC	4	5	6	No	#CCCCCC
#CCCCCC	5	5	6	No	#CCCCCC
#CCCCCC	6	5	6	No	#CCCCCC
#CCCCCC	7	5	6	No	#CCCCCC
#CCCCCC	8	5	6	No	#CCCCCC
#CCCCCC	9	5	6	No	#CCCCCC
#CCCCCC	10	5	6	No	#CCCCCC
#CCCCCC	1	6	6	No	#CCCCCC
#CCCCCC	2	6	6	No	#CCCCCC
#CCCCCC	3	6	6	No	#CCCCCC
#CCCCCC	4	6	6	No	#CCCCCC
#CCCCCC	5	6	6	No	#CCCCCC
#CCCCCC	6	6	6	No	#CCCCCC
#CCCCCC	7	6	6	No	#CCCCCC
#CCCCCC	8	6	6	No	#CCCCCC
#CCCCCC	9	6	6	No	#CCCCCC
#CCCCCC	10	6	6	No	#CCCCCC
#CCCCCC	1	7	6	No	#CCCCCC
#CCCCCC	2	7	6	No	#CCCCCC
#CCCCCC	3	7	6	No	#CCCCCC
#FF0000	4	7	6	Yes	#FF0000
#CCCCCC	5	7	6	No	#CCCCCC
#CCCCCC	6	7	6	No	#CCCCCC
#FF0000	7	7	6	Yes	#FF0000
#CCCCCC	8	7	6	No	#CCCCCC
#CCCCCC	9	7	6	No	#CCCCCC
#CCCCCC	10	7	6	No	#CCCCCC
#FF0000	1	8	6	Yes	#FF0000
#CCCCCC	2	8	6	No	#CCCCCC
#CCCCCC	3	8	6	No	#CCCCCC
#CCCCCC	4	8	6	No	#CCCCCC
#CCCCCC	5	8	6	No	#CCCCCC
#CCCCCC	6	8	6	No	#CCCCCC
#FF0000	7	8	6	Yes	#FF0000
#CCCCCC	8	8	6	No	#CCCCCC
#CCCCCC	9	8	6	No	#CCCCCC
#CCCCCC	10	8	6	No	#CCCCCC
#FF0000	1	9	6	Yes	#FF0000
#CCCCCC	2	9	6	No	#CCCCCC
#CCCCCC	3	9	6	No	#CCCCCC
#CCCCCC	4	9	6	No	#CCCCCC
#CCCCCC	5	9	6	No	#CCCCCC
#CCCCCC	6	9	6	No	#CCCCCC
#CCCCCC	7	9	6	No	#CCCCCC
#CCCCCC	8	9	6	No	#CCCCCC
#CCCCCC	9	9	6	No	#CCCCCC
